"review_id","order_id","review_score","review_comment_title","review_comment_message","review_creation_date","review_answer_timestamp"
"88b8b52d46df026a9d1ad2136a59b30b","00e7ee1b050b8499577073aeb2a297a1",1,Não recomendo!!!,"Comprei um carregador veicular da Belkin, porém, ao ligar no veiculo pela primeira vez queimou o carregador e a tomada do veículo. ",2018-05-03 00:00:00,2018-05-03 15:59:27
"02fc48a9efa3e3d0f1a8ea26507eeec3","29150127e6685892b6eab3eec79f59c7",5,,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",2018-03-23 00:00:00,2018-04-01 00:27:51
